"OTU|Taxa","P19","P32","P02","P29","P13","P41","P27","P15","P24","P10","P22","P20","P35","P38","P28","P09","P11","P03","P26","P39","P04","P21","P23","P34","P08","P33","P42","P18","P37","P12","P14","P16","P36","P06","P17","P01","P07","P40","P31","P30","P05","P25"
"181155|Veillonellaceae",0,7.58150113722517e-05,7.58150113722517e-05,0,0.000151630022744503,0,0.00644427596664139,0,0,0,0,0,0,0,0.00045489006823351,0.000151630022744503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,0,0
"495396|Tissierellaceae",0,0,0,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0,0,0,0.000227445034116755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1077373|Prevotellaceae",0,0,0,0,0,0,0,0,0.000151630022744503,0,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,0,0,0,0,0
"1107027|Lactobacillaceae",7.58150113722517e-05,0,0,0,0,0,0,0,0.000227445034116755,0.000379075056861259,7.58150113722517e-05,0.00144048521607278,7.58150113722517e-05,0,0.00227445034116755,0,0.000151630022744503,7.58150113722517e-05,0,0,0,0,0,7.58150113722517e-05,0,0,0.000227445034116755,7.58150113722517e-05,0.000151630022744503,0,0,0.00644427596664139,0,0,7.58150113722517e-05,0.000227445034116755,0,0.000151630022744503,0.000151630022744503,0,0,0
"197537|Bacteroidaceae",0,0,0,7.58150113722517e-05,0,0.000151630022744503,0.000227445034116755,0,0,0.000227445034116755,0,0,0,0,0.000227445034116755,0,0,0,0,0,0,0,0.000227445034116755,0,0,7.58150113722517e-05,0,0.000151630022744503,7.58150113722517e-05,0,0,7.58150113722517e-05,7.58150113722517e-05,7.58150113722517e-05,0,0,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05
"174842|Porphyromonadaceae",0,0,0,7.58150113722517e-05,0,0,0,0,7.58150113722517e-05,7.58150113722517e-05,0.000151630022744503,0,0.000151630022744503,0,0,0.000151630022744503,0,0,0,0.000227445034116755,0.000151630022744503,0,0.00045489006823351,0.000151630022744503,0,7.58150113722517e-05,0.000151630022744503,7.58150113722517e-05,0.000227445034116755,0,0,0.000151630022744503,0,0,0,0,0,0,0,0,7.58150113722517e-05,0
"363794|Coriobacteriaceae",7.58150113722517e-05,0.000758150113722517,0.000379075056861259,0,0,0,0,0,0,7.58150113722517e-05,0,0.0446550416982563,0.000758150113722517,0.000227445034116755,0.0023502653525398,0.00045489006823351,0,0,0.000833965125094769,0.00492797573919636,7.58150113722517e-05,0.00121304018195603,0.00591357088703563,0.00227445034116755,0.000606520090978014,0,0,0,0,0,0.000151630022744503,0.00712661106899166,0.000985595147839272,0,0.000758150113722517,0.000606520090978014,0,0.00136467020470053,0,0,0,0.0020470053070508
"185186|Verrucomicrobiaceae",0,0,0,0,0,0,0,0,0.000151630022744503,0,0,0,0,0,0,0,0,0,0,7.58150113722517e-05,0,0,0.000151630022744503,0.000227445034116755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176337|Ruminococcaceae",0,0,0,0,0,7.58150113722517e-05,0,0,0,0,0,0,7.58150113722517e-05,0,0,0,0,0.000151630022744503,0,0,0,0.000151630022744503,0,0,0,0,7.58150113722517e-05,0,0,0,0.000151630022744503,0,0,0,0,0,0,0,0,7.58150113722517e-05,7.58150113722517e-05,0
